iter	Passed	Remaining
0	59	59309
1	120	60347
2	185	61739
3	241	60190
4	299	59543
5	346	57327
6	393	55812
7	443	55014
8	493	54338
9	546	54066
10	597	53764
11	648	53430
12	700	53210
13	867	61070
14	1017	66817
15	1061	65258
16	1109	64133
17	1155	63024
18	1197	61838
19	1237	60660
20	1276	59513
21	1321	58736
22	1366	58058
23	1407	57243
24	1459	56915
25	1503	56323
26	1554	56020
27	1598	55505
28	1651	55312
29	1696	54849
30	1737	54295
31	1782	53912
32	1822	53400
33	1860	52860
34	1906	52558
35	1952	52296
36	2002	52115
37	2053	51980
38	2150	52993
39	2208	53003
40	2248	52600
41	2296	52375
42	2340	52086
43	2384	51805
44	2428	51531
45	2471	51250
46	2514	50976
47	2556	50710
48	2596	50392
49	2640	50163
50	2683	49932
51	2726	49711
52	2770	49508
53	2813	49289
54	2863	49198
55	2908	49021
56	2952	48853
57	3003	48785
58	3058	48782
59	3106	48669
60	3149	48475
61	3197	48375
62	3241	48203
63	3281	47985
64	3332	47930
65	3379	47822
66	3429	47752
67	3476	47653
68	3523	47536
69	3568	47414
70	3620	47369
71	3663	47217
72	3707	47085
73	3758	47037
74	3803	46915
75	3851	46821
76	4002	47981
77	4140	48938
78	4195	48910
79	4242	48786
80	4286	48629
81	4329	48468
82	4373	48323
83	4423	48233
84	4468	48103
85	4516	48000
86	4562	47876
87	4606	47737
88	4651	47613
89	4695	47474
90	4742	47372
91	4792	47302
92	4840	47205
93	4884	47074
94	4930	46968
95	4985	46949
96	5039	46910
97	5082	46776
98	5131	46703
99	5233	47099
100	5289	47082
101	5336	46983
102	5386	46909
103	5428	46768
104	5469	46622
105	5511	46482
106	5555	46365
107	5602	46269
108	5646	46153
109	5692	46059
110	5734	45926
111	5785	45870
112	5829	45762
113	5878	45687
114	5922	45574
115	5963	45444
116	6010	45358
117	6050	45226
118	6093	45115
119	6135	44990
120	6176	44871
121	6222	44780
122	6266	44681
123	6308	44566
124	6355	44485
125	6406	44437
126	6454	44366
127	6501	44291
128	6544	44187
129	6590	44104
130	6628	43968
131	6664	43822
132	6707	43725
133	6749	43620
134	6789	43503
135	6832	43403
136	6961	43854
137	7075	44196
138	7157	44333
139	7206	44268
140	7247	44153
141	7296	44090
142	7342	44006
143	7385	43905
144	7431	43820
145	7478	43746
146	7520	43636
147	7570	43582
148	7616	43498
149	7664	43431
150	7705	43323
151	7758	43282
152	7797	43165
153	7839	43065
154	7885	42988
155	7929	42899
156	7992	42917
157	8036	42829
158	8086	42770
159	8130	42683
160	8239	42938
161	8286	42863
162	8326	42757
163	8374	42691
164	8421	42618
165	8465	42531
166	8508	42440
167	8555	42370
168	8599	42286
169	8645	42211
170	8687	42115
171	8732	42036
172	8777	41960
173	8829	41912
174	8877	41850
175	8918	41754
176	8967	41697
177	9014	41626
178	9062	41565
179	9108	41495
180	9152	41413
181	9195	41330
182	9241	41258
183	9290	41203
184	9337	41136
185	9383	41067
186	9435	41020
187	9489	40986
188	9537	40925
189	9586	40867
190	9634	40808
191	9678	40732
192	9723	40656
193	9769	40587
194	9949	41071
195	10064	41285
196	10104	41187
197	10149	41108
198	10192	41026
199	10231	40926
200	10274	40840
201	10324	40786
202	10377	40742
203	10420	40662
204	10463	40577
205	10510	40510
206	10554	40432
207	10600	40363
208	10645	40289
209	10703	40264
210	10747	40190
211	10793	40117
212	10838	40045
213	10886	39985
214	10944	39958
215	10983	39865
216	11025	39783
